Mothur_Name,Read_Number,Concentration,Cruise,Sed_or_Mus_or_Wat,Type,Depth_in_Meters,Lake,Month_Collected,Mussel Classification ,Mass_of_Mussel,Mussel_Density,Sediment_Type,,,,,,,,,,
110B1_S115_S68,10055,2.42,Transect,Sediment,Sediment,110,Michigan,October,,,,black mud,,,,,,,,,,
110B1_S415_S183,18975,6.71,Transect,Sediment,Sediment,110,Michigan,April,,,,black mud,,,,,,,,,,
110B1_S515_S184,14213,7.66,Transect,Sediment,Sediment,110,Michigan,May,,,,black mud,,,,,,,,,,
110B1_S615_S182,10658,3.51,Transect,Sediment,Sediment,110,Michigan,June,,,,black mud,,,,,,,,,,
110B1_S715_S185,9098,2.05,Transect,Sediment,Sediment,110,Michigan,July,,,,black mud,,,,,,,,,,
110B1_S815_S134,11945,4.79,Transect,Sediment,Sediment,110,Michigan,August,,,,black mud,,,,,,,,,,
110B1_S915_S145,10368,4.31,Transect,Sediment,Sediment,110,Michigan,September,,,,black mud,,,,,,,,,,
110B2_S115_S80,10819,3.28,Transect,Sediment,Sediment,110,Michigan,October,,,,black mud,,,,,,,,,,
110B2_S415_S100,14036,3.2,Transect,Sediment,Sediment,110,Michigan,April,,,,black mud,,,,,,,,,,
110B2_S515_S101,9701,5.3,Transect,Sediment,Sediment,110,Michigan,May,,,,black mud,,,,,,,,,,
110B2_S615_S99,16192,4.67,Transect,Sediment,Sediment,110,Michigan,June,,,,black mud,,,,,,,,,,
110B2_S715_S102,9564,4.81,Transect,Sediment,Sediment,110,Michigan,July,,,,black mud,,,,,,,,,,
110B2_S815_S146,11020,8.21,Transect,Sediment,Sediment,110,Michigan,August,,,,black mud,,,,,,,,,,
110B2_S915_S133,11181,2.4,Transect,Sediment,Sediment,110,Michigan,September,,,,black mud,,,,,,,,,,
110M1_615_S253,13377,15.5,Transect,Mussel,Whole Mussel,110,Michigan,June,Medium,0.3,,black mud,,,,,,,,,,
110M1_715_S277,7875,31.03,Transect,Mussel,Whole Mussel,110,Michigan,July,Small,0.1,,black mud,,,,,,,,,,
110M1_815_S206,12484,16.28,Transect,Mussel,Whole Mussel,110,Michigan,August,Small,0.1,,black mud,,,,,,,,,,
110M2_615_S265,8245,29.68,Transect,Mussel,Whole Mussel,110,Michigan,June,Small,0.2,,black mud,,,,,,,,,,
110M2_715_S194,7553,30.69,Transect,Mussel,Whole Mussel,110,Michigan,July,Small,0.1,,black mud,,,,,,,,,,
110M2_815_S218,11060,20.53,Transect,Mussel,Whole Mussel,110,Michigan,August,Small,0.1,,black mud,,,,,,,,,,
